artistName,completionYear,detailsUrl,imageUrl,title
Sandro Botticelli,1485,http://www.wikiart.org/en/sandro-botticelli/the-birth-of-venus-1485,https://uploads6.wikiart.org/images/sandro-botticelli/the-birth-of-venus-1485(1).jpg,The Birth of Venus
 Wassily Kandinsky,1913,http://www.wikiart.org/en/wassily-kandinsky/composition-vi-1913,https://uploads8.wikiart.org/images/wassily-kandinsky/composition-vi-1913.jpg,Composition VI
Vincent van Gogh,1890,http://www.wikiart.org/en/vincent-van-gogh/white-house-at-night-1890,https://uploads4.wikiart.org/images/vincent-van-gogh/white-house-at-night-1890.jpg,White House at Night
Claude Monet,-1,http://www.wikiart.org/en/claude-monet/houses-at-argenteuil,https://uploads4.wikiart.org/images/claude-monet/houses-at-argenteuil.jpg,Houses at Argenteuil
Mikalojus Ciurlionis,1909,http://www.wikiart.org/en/mikalojus-ciurlionis/castle-castle-fairy-tale-1909,https://uploads3.wikiart.org/images/mikalojus-ciurlionis/castle-castle-fairy-tale-1909.jpg,Castle (Castle Fairy Tale)
Jean-Francois Millet,1857,http://www.wikiart.org/en/jean-francois-millet/the-gleaners-1857,https://uploads4.wikiart.org/00144/images/jean-francois-millet/jean-fran-ois-millet-gleaners-google-art-project.jpg,The Gleaners
Paul Signac,1891,http://www.wikiart.org/en/paul-signac/concarneau-study-1891,https://uploads4.wikiart.org/images/paul-signac/concarneau-study-1891.jpg,Concarneau (study)
Claude Monet,1875,http://www.wikiart.org/en/claude-monet/madame-monet-and-child,https://uploads0.wikiart.org/images/claude-monet/madame-monet-and-child(1).jpg,Camille Monet and a Child in the Artist’s Garden in Argenteuil
Rubens Santoro,-1,http://www.wikiart.org/en/rubens-santoro/capri-italy,https://uploads6.wikiart.org/images/rubens-santoro/capri-italy.jpg,"Capri, Italy"
Aleksey Savrasov,1868,http://www.wikiart.org/en/aleksey-savrasov/rafts-1868,https://uploads7.wikiart.org/images/aleksey-savrasov/rafts-1868.jpg,Rafts
Aleksey Savrasov,1872,http://www.wikiart.org/en/aleksey-savrasov/spring-the-rooks-have-arrived-1872,https://uploads4.wikiart.org/images/aleksey-savrasov/spring-the-rooks-have-arrived-1872.jpg,Spring. The Rooks Have Arrived.
Aleksey Savrasov,-1,http://www.wikiart.org/en/aleksey-savrasov/spring-thaw,https://uploads8.wikiart.org/images/aleksey-savrasov/spring-thaw.jpg,Spring Thaw
Ivan Shishkin,1889,http://www.wikiart.org/en/ivan-shishkin/morning-in-a-pine-forest-1889,https://uploads5.wikiart.org/images/ivan-shishkin/morning-in-a-pine-forest-1889.jpg,Morning in a Pine Forest
Ivan Shishkin,1869,http://www.wikiart.org/en/ivan-shishkin/promenading-in-the-forest-1869,https://uploads6.wikiart.org/images/ivan-shishkin/promenading-in-the-forest-1869.jpg,Promenading in the Forest
Henryk Siemiradzki,1873,http://www.wikiart.org/en/henryk-siemiradzki/christ-and-sinner,https://uploads7.wikiart.org/images/henryk-siemiradzki/christ-and-sinner.jpg,Christ and Sinner
Cornelis Springer,-1,http://www.wikiart.org/en/cornelis-springer/view-onn-enkhuizen,https://uploads7.wikiart.org/images/cornelis-springer/view-onn-enkhuizen.jpg,View on Enkhuizen
